#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  orcid: https://orcid.org/
#  github: https://github.com/
#  bartoc: http://bartoc.org/
#  aat: http://vocab.getty.edu/aat/
#  wikidata: http://www.wikidata.org/entity/
#  gnd: https://d-nb.info/gnd/
#  dai: http://thesauri.dainst.org/
#  backbone: https://vocabs.dariah.eu/bbt/Concept/
#  wnk: http://lvr.vocnet.org/wnk/
#  defc: https://vocabs.acdh.oeaw.ac.at/defcthesaurus/
#  OeAI_ctp: https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/
#  OeAI_m: https://vocabs.acdh.oeaw.ac.at/oeai-materials/
#  gemet: http://www.eionet.europa.eu/gemet/concept/
#  dyas: https://humanitiesthesaurus.academyofathens.gr/dyas-resource/Concept/
#  fish: http://purl.org/heritagedata/
#  pactols: https://ark.frantiq.fr/ark:/26678/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/wnk_ads_eh_tmt2.sssom.tsv
#mapping_set_title: Wortnetz Kultur → ADS Monuments SKOS mappings
#mapping_set_description: SKOS mappings extracted from local RDF dump(s) of Wortnetz Kultur (concept scheme: http://lvr.vocnet.org/wnk), targeting ADS Monuments (concept scheme: http://purl.org/heritagedata/schemes/eh_tmt2). The original procedure by which the mappings were established is unknown; mapping_justification is therefore semapv:UnspecifiedMatching.
#license: https://creativecommons.org/licenses/by/4.0/
#publication_date: 2026-09-14
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel-Länger
#mapping_tool: extract_skos_mappings_to_sssom.py
#mapping_tool_id: github:LasseMempel/thesaurusscience/blob/main/Scripts/build_vocabulary_mappings.py
#subject_source: http://lvr.vocnet.org/wnk
#object_source: fish:schemes/eh_tmt2
#comment: Extracted from local RDF file(s) Wortnetz/Wortnetz Kultur.rdf; source graph(s) contain SKOS mapping assertions without information about the original mapping process or a mapping-specific source label.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
wnk:wk000003	paper  mill	skos:exactMatch	fish:schemes/eh_tmt2/concepts/69156		semapv:UnspecifiedMatching	
wnk:wk000019	powder mill	skos:exactMatch	fish:schemes/eh_tmt2/concepts/69152		semapv:UnspecifiedMatching	
wnk:wk000034	fulling mill	skos:exactMatch	fish:schemes/eh_tmt2/concepts/69321		semapv:UnspecifiedMatching	
wnk:wk000050	mill race	skos:closeMatch	fish:schemes/eh_tmt2/concepts/69340		semapv:UnspecifiedMatching	
wnk:wk000071	watchtower	skos:exactMatch	fish:schemes/eh_tmt2/concepts/68919		semapv:UnspecifiedMatching	
wnk:wk000122	settlement	skos:closeMatch	fish:schemes/eh_tmt2/concepts/68977		semapv:UnspecifiedMatching	
wnk:wk000132	bone mill	skos:exactMatch	fish:schemes/eh_tmt2/concepts/69082		semapv:UnspecifiedMatching	
wnk:wk000136	timber mill	skos:exactMatch	fish:schemes/eh_tmt2/concepts/103893		semapv:UnspecifiedMatching	
wnk:wk000195	weir	skos:exactMatch	fish:schemes/eh_tmt2/concepts/70467		semapv:UnspecifiedMatching	
wnk:wk000210	inhumation	skos:exactMatch	fish:schemes/eh_tmt2/concepts/70031		semapv:UnspecifiedMatching	
wnk:wk000233	coffin	skos:exactMatch	fish:schemes/eh_tmt2/concepts/70074		semapv:UnspecifiedMatching	
wnk:wk000242	tree trunk coffin	skos:exactMatch	fish:schemes/eh_tmt2/concepts/70076		semapv:UnspecifiedMatching	
wnk:wk000245	sarcophagus	skos:exactMatch	fish:schemes/eh_tmt2/concepts/70075		semapv:UnspecifiedMatching	
wnk:wk000431	deserted settlement	skos:exactMatch	fish:schemes/eh_tmt2/concepts/97280		semapv:UnspecifiedMatching	
wnk:wk000437	hamlet	skos:exactMatch	fish:schemes/eh_tmt2/concepts/68985		semapv:UnspecifiedMatching	
wnk:wk000442	sunken hut	skos:exactMatch	fish:schemes/eh_tmt2/concepts/68927		semapv:UnspecifiedMatching	
wnk:wk000448	crouched burial	skos:exactMatch	fish:schemes/eh_tmt2/concepts/70033		semapv:UnspecifiedMatching	
wnk:wk000456	weaving mill	skos:exactMatch	fish:schemes/eh_tmt2/concepts/69328		semapv:UnspecifiedMatching	
wnk:wk000483	posthole	skos:exactMatch	fish:schemes/eh_tmt2/concepts/70403		semapv:UnspecifiedMatching	
wnk:wk000507	Jewish cemetery	skos:exactMatch	fish:schemes/eh_tmt2/concepts/92389		semapv:UnspecifiedMatching	
wnk:wk000573	mausoleum	skos:exactMatch	fish:schemes/eh_tmt2/concepts/70087		semapv:UnspecifiedMatching	
wnk:wk000575	bustum	skos:exactMatch	fish:schemes/eh_tmt2/concepts/70040		semapv:UnspecifiedMatching	
wnk:wk000586	cenotaph	skos:exactMatch	fish:schemes/eh_tmt2/concepts/68759		semapv:UnspecifiedMatching	
wnk:wk000592	long barrow	skos:exactMatch	fish:schemes/eh_tmt2/concepts/70006		semapv:UnspecifiedMatching	
wnk:wk000593	mass grave	skos:exactMatch	fish:schemes/eh_tmt2/concepts/144484		semapv:UnspecifiedMatching	
wnk:wk000599	burial vault	skos:exactMatch	fish:schemes/eh_tmt2/concepts/70042		semapv:UnspecifiedMatching	
wnk:wk000605	burial pit	skos:closeMatch	fish:schemes/eh_tmt2/concepts/70038		semapv:UnspecifiedMatching	
wnk:wk000626	longhouse (multiple dwelling)	skos:closeMatch	fish:schemes/eh_tmt2/concepts/104173		semapv:UnspecifiedMatching	
wnk:wk000631	retting pond	skos:exactMatch	fish:schemes/eh_tmt2/concepts/129043		semapv:UnspecifiedMatching	
wnk:wk000632	tanning pit	skos:exactMatch	fish:schemes/eh_tmt2/concepts/69402		semapv:UnspecifiedMatching	
wnk:wk000634	cooking pit	skos:exactMatch	fish:schemes/eh_tmt2/concepts/91618		semapv:UnspecifiedMatching	
wnk:wk000640	storage pit	skos:exactMatch	fish:schemes/eh_tmt2/concepts/68668		semapv:UnspecifiedMatching	
wnk:wk000691	mill (building)	skos:closeMatch	fish:schemes/eh_tmt2/concepts/69303		semapv:UnspecifiedMatching	
wnk:wk000721	pen (fencing)	skos:exactMatch	fish:schemes/eh_tmt2/concepts/71132		semapv:UnspecifiedMatching	
wnk:wk000755	quarry (extracting complexes)	skos:closeMatch	fish:schemes/eh_tmt2/concepts/69068		semapv:UnspecifiedMatching	
wnk:wk000823	chapel (building)	skos:exactMatch	fish:schemes/eh_tmt2/concepts/69967		semapv:UnspecifiedMatching	
wnk:wk000872	Eisenbahnbrücke	skos:exactMatch	fish:schemes/eh_tmt2/concepts/70221		semapv:UnspecifiedMatching	
wnk:wk000877	synagogue (building)	skos:exactMatch	fish:schemes/eh_tmt2/concepts/70195		semapv:UnspecifiedMatching	
wnk:wk000898	dye-work	skos:exactMatch	fish:schemes/eh_tmt2/concepts/69148		semapv:UnspecifiedMatching	
wnk:wk000958	spinning mill	skos:exactMatch	fish:schemes/eh_tmt2/concepts/69326		semapv:UnspecifiedMatching	
wnk:wk000960	tannery	skos:exactMatch	fish:schemes/eh_tmt2/concepts/69401		semapv:UnspecifiedMatching	
wnk:wk001158	smithy	skos:exactMatch	fish:schemes/eh_tmt2/concepts/71815		semapv:UnspecifiedMatching	
wnk:wk001171	limekiln	skos:exactMatch	fish:schemes/eh_tmt2/concepts/69063		semapv:UnspecifiedMatching	
wnk:wk001295	movable bridge	skos:exactMatch	fish:schemes/eh_tmt2/concepts/94202		semapv:UnspecifiedMatching	
wnk:wk001296	drawbridge	skos:exactMatch	fish:schemes/eh_tmt2/concepts/70217		semapv:UnspecifiedMatching	
wnk:wk001297	swing bridge	skos:exactMatch	fish:schemes/eh_tmt2/concepts/70224		semapv:UnspecifiedMatching	
