#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  orcid: https://orcid.org/
#  github: https://github.com/
#  bartoc: http://bartoc.org/
#  aat: http://vocab.getty.edu/aat/
#  wikidata: http://www.wikidata.org/entity/
#  gnd: https://d-nb.info/gnd/
#  dai: http://thesauri.dainst.org/
#  backbone: https://vocabs.dariah.eu/bbt/Concept/
#  wnk: http://lvr.vocnet.org/wnk/
#  defc: https://vocabs.acdh.oeaw.ac.at/defcthesaurus/
#  OeAI_ctp: https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/
#  OeAI_m: https://vocabs.acdh.oeaw.ac.at/oeai-materials/
#  gemet: http://www.eionet.europa.eu/gemet/concept/
#  dyas: https://humanitiesthesaurus.academyofathens.gr/dyas-resource/Concept/
#  fish: http://purl.org/heritagedata/
#  pactols: https://ark.frantiq.fr/ark:/26678/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/wnk_aat.sssom.tsv
#mapping_set_title: Wortnetz Kultur → Getty Art & Architecture Thesaurus (AAT) SKOS mappings
#mapping_set_description: SKOS mappings extracted from local RDF dump(s) of Wortnetz Kultur (concept scheme: http://lvr.vocnet.org/wnk), targeting Getty Art & Architecture Thesaurus (AAT) (concept scheme: http://vocab.getty.edu/aat/). The original procedure by which the mappings were established is unknown; mapping_justification is therefore semapv:UnspecifiedMatching.
#license: https://creativecommons.org/licenses/by/4.0/
#publication_date: 2026-09-15
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel-Länger
#mapping_tool: extract_skos_mappings_to_sssom.py
#mapping_tool_id: github:LasseMempel/thesaurusscience/blob/main/Scripts/build_vocabulary_mappings.py
#subject_source: http://lvr.vocnet.org/wnk
#object_source: aat:
#comment: Extracted from local RDF file(s) Wortnetz/Wortnetz Kultur.rdf; source graph(s) contain SKOS mapping assertions without information about the original mapping process or a mapping-specific source label.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
wnk:wk000003	paper  mill	skos:exactMatch	aat:300006308		semapv:UnspecifiedMatching	
wnk:wk000009	post mill	skos:closeMatch	aat:300411564		semapv:UnspecifiedMatching	
wnk:wk000011	flour mill	skos:exactMatch	aat:300006286		semapv:UnspecifiedMatching	
wnk:wk000015	bark mill	skos:exactMatch	aat:300024458		semapv:UnspecifiedMatching	
wnk:wk000018	oil  mill	skos:exactMatch	aat:300248351		semapv:UnspecifiedMatching	
wnk:wk000019	powder mill	skos:exactMatch	aat:300185661		semapv:UnspecifiedMatching	
wnk:wk000023	Tool and Equipment (hierarchy name)	skos:exactMatch	aat:300022238		semapv:UnspecifiedMatching	
wnk:wk000024	Single Built Work (hierarchy name)	skos:exactMatch	aat:300004789		semapv:UnspecifiedMatching	
wnk:wk000034	fulling mill	skos:exactMatch	aat:300006324		semapv:UnspecifiedMatching	
wnk:wk000038	coffee mill	skos:exactMatch	aat:300207798		semapv:UnspecifiedMatching	
wnk:wk000044	waterworks (arch.)	skos:exactMatch	aat:300006215		semapv:UnspecifiedMatching	
wnk:wk000050	mill race	skos:closeMatch	aat:300006080		semapv:UnspecifiedMatching	
wnk:wk000052	bakehouse	skos:closeMatch	aat:300266040		semapv:UnspecifiedMatching	
wnk:wk000058	castle (fortification)	skos:closeMatch	aat:300006891		semapv:UnspecifiedMatching	
wnk:wk000068	tower (single built work)	skos:narrowMatch	aat:300003615		semapv:UnspecifiedMatching	
wnk:wk000068	tower (single built work)	skos:narrowMatch	aat:300004847		semapv:UnspecifiedMatching	
wnk:wk000071	watchtower	skos:closeMatch	aat:300134522		semapv:UnspecifiedMatching	
wnk:wk000079	Object Grouping and System (hierarchy name)	skos:closeMatch	aat:300241489		semapv:UnspecifiedMatching	
wnk:wk000080	Open Space and Site Element (hierarchy name)	skos:closeMatch	aat:300139081		semapv:UnspecifiedMatching	
wnk:wk000096	wood (plant material)	skos:exactMatch	aat:300011914		semapv:UnspecifiedMatching	
wnk:wk000098	common reed	skos:exactMatch	aat:300375481		semapv:UnspecifiedMatching	
wnk:wk000100	sheet metal	skos:exactMatch	aat:300223016		semapv:UnspecifiedMatching	
wnk:wk000101	metal	skos:exactMatch	aat:300010900		semapv:UnspecifiedMatching	
wnk:wk000112	architectural element	skos:exactMatch	aat:300000885		semapv:UnspecifiedMatching	
wnk:wk000113	door	skos:closeMatch	aat:300002803		semapv:UnspecifiedMatching	
wnk:wk000114	window	skos:exactMatch	aat:300002944		semapv:UnspecifiedMatching	
wnk:wk000115	stairs	skos:exactMatch	aat:300003228		semapv:UnspecifiedMatching	
