#curie_map:
#  fish: http://purl.org/heritagedata/
#  fish_tbm: http://purl.org/heritagedata/schemes/eh_tbm
#  fish_com: http://purl.org/heritagedata/schemes/eh_com
#  fish_obj: http://purl.org/heritagedata/schemes/mda_obj
#  fish_tmc: http://purl.org/heritagedata/schemes/eh_tmc
#  fish_tmt2: http://purl.org/heritagedata/schemes/eh_tmt2
#  aat: http://vocab.getty.edu/aat/
#  skos: http://www.w3.org/2004/02/skos/core#
#  orcid: https://orcid.org/
#  github: https://github.com/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/ads_eh_tmt2_aat.sssom.tsv
#mapping_set_title: ADS Monuments → Getty AAT crosswalk (ARIADNE)
#mapping_set_description: FISH-thesaurus-to-AAT concept crosswalk compiled by the Archaeology Data Service (ADS) for the ARIADNE project, extracted from the project's published PDF table.
#license: https://creativecommons.org/licenses/by/4.0/
#mapping_date: 2019-01-29
#publication_date: 2026-09-10
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel-Länger
#mapping_provider: https://ror.org/04w1khd64
#mapping_tool: build_aat_mappings.py (PDF table extraction)
#mapping_tool_id: github:LasseMempel/thesaurusscience/blob/main/Scripts/build_aat_mappings.py
#subject_source: fish_tmt2:
#object_source: aat:
#see_also: http://legacy.ariadne-infrastructure.eu/wp-content/uploads/2019/01/ARIADNE_ADS_AAT_Mappings.pdf
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label	comment
fish_tmt2:/concepts/70120	skos:exactMatch	aat:300000642	semapv:UnspecifiedMatching	ABBEY	abbeys (monasteries)	
fish_tmt2:/concepts/69980	skos:closeMatch	aat:300007495	semapv:UnspecifiedMatching	Abbey Church	abbey churches	
fish_tmt2:/concepts/70116	skos:broadMatch	aat:300000786	semapv:UnspecifiedMatching	Abbey Wall	precincts	
fish_tmt2:/concepts/68544	skos:exactMatch	aat:300004898	semapv:UnspecifiedMatching	AGRICULTURAL BUILDING	agricultural buildings	
fish_tmt2:/concepts/103673	skos:broadMatch	aat:300004898	semapv:UnspecifiedMatching	AGRICULTURAL DWELLING	agricultural buildings	
fish_tmt2:/concepts/91004	skos:broadMatch	aat:300004898	semapv:UnspecifiedMatching	AGRICULTURAL HALL	agricultural buildings	
fish_tmt2:/concepts/68543	skos:broadMatch	aat:300054463	semapv:UnspecifiedMatching	AGRICULTURE AND SUBSISTENCE	agriculture	
fish_tmt2:/concepts/68810	skos:exactMatch	aat:300007689	semapv:UnspecifiedMatching	AIR RAID SHELTER	air raid shelters	
fish_tmt2:/concepts/70208	skos:closeMatch	aat:300212527	semapv:UnspecifiedMatching	AIRCRAFT	aircraft	
fish_tmt2:/concepts/70209	skos:exactMatch	aat:300000679	semapv:UnspecifiedMatching	AIRFIELD	airfields	
fish_tmt2:/concepts/140501	skos:broadMatch	aat:300000679	semapv:UnspecifiedMatching	AIRFIELD DEFENCE SITE	airfields	
