#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  orcid: https://orcid.org/
#  github: https://github.com/
#  bartoc: http://bartoc.org/
#  aat: http://vocab.getty.edu/aat/
#  wikidata: http://www.wikidata.org/entity/
#  gnd: https://d-nb.info/gnd/
#  dai: http://thesauri.dainst.org/
#  backbone: https://vocabs.dariah.eu/bbt/Concept/
#  wnk: http://lvr.vocnet.org/wnk/
#  defc: https://vocabs.acdh.oeaw.ac.at/defcthesaurus/
#  OeAI_ctp: https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/
#  OeAI_m: https://vocabs.acdh.oeaw.ac.at/oeai-materials/
#  gemet: http://www.eionet.europa.eu/gemet/concept/
#  dyas: https://humanitiesthesaurus.academyofathens.gr/dyas-resource/Concept/
#  fish: http://purl.org/heritagedata/
#  pactols: https://ark.frantiq.fr/ark:/26678/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/unknown_target/wnk_unknown_target_scheme.sssom.tsv
#mapping_set_title: Wortnetz Kultur → unknown target SKOS mappings
#mapping_set_description: SKOS mappings extracted from local RDF dump(s) of Wortnetz Kultur (concept scheme: http://lvr.vocnet.org/wnk). The original procedure by which the mappings were established is unknown; mapping_justification is therefore semapv:UnspecifiedMatching.
#license: https://creativecommons.org/licenses/by/4.0/
#publication_date: 2026-09-15
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel-Länger
#mapping_tool: extract_skos_mappings_to_sssom.py
#mapping_tool_id: github:LasseMempel/thesaurusscience/blob/main/Scripts/build_vocabulary_mappings.py
#subject_source: http://lvr.vocnet.org/wnk
#comment: Extracted from local RDF file(s) Wortnetz/Wortnetz Kultur.rdf; source graph(s) contain SKOS mapping assertions without information about the original mapping process or a mapping-specific source label.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
wnk:wk000033	grinding mill (technology)	skos:closeMatch	https://www.wikidata.org/wiki/Q2238889		semapv:UnspecifiedMatching	
wnk:wk000041	Archimedes' screw	skos:exactMatch	https://www.wikidata.org/wiki/Q189155		semapv:UnspecifiedMatching	
wnk:wk000058	castle (fortification)	skos:closeMatch	http://data.bnf.fr/11931695/chateaux_forts/		semapv:UnspecifiedMatching	
wnk:wk000058	castle (fortification)	skos:closeMatch	http://id.loc.gov/authorities/sh85020702#concept		semapv:UnspecifiedMatching	
wnk:wk000100	sheet metal	skos:closeMatch	https://www.wikidata.org/wiki/Q211367		semapv:UnspecifiedMatching	
wnk:wk000122	settlement	skos:closeMatch	https://lccn.loc.gov/sh85062894		semapv:UnspecifiedMatching	
wnk:wk000147	summerhouse	skos:closeMatch	https://www.wikidata.org/wiki/Q5787273		semapv:UnspecifiedMatching	
wnk:wk000150	tavern	skos:closeMatch	https://www.wikidata.org/wiki/Q11707		semapv:UnspecifiedMatching	
wnk:wk000200	villa rustica	skos:exactMatch	https://www.wikidata.org/wiki/Q252021		semapv:UnspecifiedMatching	
wnk:wk000202	container (receptacle)	skos:closeMatch	https://www.wikidata.org/wiki/Q987767		semapv:UnspecifiedMatching	
wnk:wk000204	bowl (shallower vessel)	skos:exactMatch	http://obg.vocnet.org/x001041x		semapv:UnspecifiedMatching	
wnk:wk000204	bowl (shallower vessel)	skos:exactMatch	https://www.wikidata.org/wiki/Q3579073		semapv:UnspecifiedMatching	
wnk:wk000212	tumulus	skos:broadMatch	http://www.iconclass.nl/libertas/ic?task=getnotation&datum=42E3711&style=notationbbsp.xsl&taal=de&flag=2		semapv:UnspecifiedMatching	
wnk:wk000226	ceramic (material)	skos:broadMatch	http://zbw.eu/stw/descriptor/14769-1		semapv:UnspecifiedMatching	
wnk:wk000226	ceramic (material)	skos:closeMatch	https://www.wikidata.org/wiki/Q45621		semapv:UnspecifiedMatching	
